Day of Date 2020,Transit Agency,Avg. PercentNorm%,Sum of Agency Order ID
"Wed, 04/08/20",Sound Transit,-86%,2
"Tue, 04/07/20",Sound Transit,-87%,2
"Mon, 04/06/20",Sound Transit,-86%,2
"Sun, 04/05/20",Sound Transit,,2
"Sat, 04/04/20",Sound Transit,,2
"Fri, 04/03/20",Sound Transit,-85%,2
"Thu, 04/02/20",Sound Transit,-86%,2
"Wed, 04/01/20",Sound Transit,-85%,2
"Tue, 03/31/20",Sound Transit,-85%,2
"Mon, 03/30/20",Sound Transit,-84%,2
"Sun, 03/29/20",Sound Transit,-77%,2
"Sat, 03/28/20",Sound Transit,-80%,2
"Fri, 03/27/20",Sound Transit,-85%,2
"Thu, 03/26/20",Sound Transit,-84%,2
"Wed, 03/25/20",Sound Transit,-84%,2
"Tue, 03/24/20",Sound Transit,-84%,2
"Mon, 03/23/20",Sound Transit,-80%,2
"Sun, 03/22/20",Sound Transit,,2
"Sat, 03/21/20",Sound Transit,,2
"Fri, 03/20/20",Sound Transit,-75%,2
"Thu, 03/19/20",Sound Transit,-75%,2
"Wed, 03/18/20",Sound Transit,-69%,2
"Tue, 03/17/20",Sound Transit,-69%,2
"Mon, 03/16/20",Sound Transit,-67%,2
"Sun, 03/15/20",Sound Transit,,2
"Sat, 03/14/20",Sound Transit,,2
"Fri, 03/13/20",Sound Transit,-60%,2
"Thu, 03/12/20",Sound Transit,-50%,2
"Wed, 03/11/20",Sound Transit,-50%,2
"Tue, 03/10/20",Sound Transit,-48%,2
"Mon, 03/09/20",Sound Transit,-48%,2
"Sun, 03/08/20",Sound Transit,,2
"Sat, 03/07/20",Sound Transit,,2
"Fri, 03/06/20",Sound Transit,-32%,2
"Thu, 03/05/20",Sound Transit,-27%,2
"Wed, 03/04/20",Sound Transit,-20%,2
"Tue, 03/03/20",Sound Transit,-14%,2
"Mon, 03/02/20",Sound Transit,-8%,2
"Sun, 03/01/20",Sound Transit,,2
"Wed, 06/03/20",King County Metro,,1
"Tue, 06/02/20",King County Metro,-71%,1
"Mon, 06/01/20",King County Metro,-70%,1
"Sun, 05/31/20",King County Metro,-56%,1
"Sat, 05/30/20",King County Metro,-63%,1
"Fri, 05/29/20",King County Metro,-72%,1
"Thu, 05/28/20",King County Metro,-73%,1
"Wed, 05/27/20",King County Metro,-73%,1
"Tue, 05/26/20",King County Metro,-73%,1
"Mon, 05/25/20",King County Metro,-59%,1
"Sun, 05/24/20",King County Metro,-57%,1
"Sat, 05/23/20",King County Metro,-54%,1
"Fri, 05/22/20",King County Metro,-70%,1
"Thu, 05/21/20",King County Metro,-75%,1
"Wed, 05/20/20",King County Metro,-74%,1
"Tue, 05/19/20",King County Metro,-73%,1
"Mon, 05/18/20",King County Metro,-72%,1
"Sun, 05/17/20",King County Metro,-54%,1
"Sat, 05/16/20",King County Metro,-63%,1
"Fri, 05/15/20",King County Metro,-71%,1
"Thu, 05/14/20",King County Metro,-74%,1
"Wed, 05/13/20",King County Metro,-74%,1
"Tue, 05/12/20",King County Metro,-74%,1
"Mon, 05/11/20",King County Metro,-74%,1
"Sun, 05/10/20",King County Metro,-51%,1
"Sat, 05/09/20",King County Metro,-59%,1
"Fri, 05/08/20",King County Metro,-72%,1
"Thu, 05/07/20",King County Metro,-74%,1
"Wed, 05/06/20",King County Metro,-75%,1
"Tue, 05/05/20",King County Metro,-75%,1
"Mon, 05/04/20",King County Metro,-74%,1
"Sun, 05/03/20",King County Metro,-77%,1
"Sat, 05/02/20",King County Metro,-81%,1
"Fri, 05/01/20",King County Metro,-72%,1
"Thu, 04/30/20",King County Metro,-75%,1
"Wed, 04/29/20",King County Metro,-75%,1
"Tue, 04/28/20",King County Metro,-77%,1
"Mon, 04/27/20",King County Metro,-75%,1
"Sun, 04/26/20",King County Metro,-78%,1
"Sat, 04/25/20",King County Metro,-80%,1
"Fri, 04/24/20",King County Metro,-74%,1
"Thu, 04/23/20",King County Metro,-76%,1
"Wed, 04/22/20",King County Metro,-78%,1
"Tue, 04/21/20",King County Metro,-77%,1
"Mon, 04/20/20",King County Metro,-74%,1
"Sun, 04/19/20",King County Metro,-75%,1
"Sat, 04/18/20",King County Metro,-81%,1
"Fri, 04/17/20",King County Metro,-72%,1
"Thu, 04/16/20",King County Metro,-74%,1
"Wed, 04/15/20",King County Metro,-75%,1
"Tue, 04/14/20",King County Metro,-75%,1
"Mon, 04/13/20",King County Metro,-74%,1
"Sun, 04/12/20",King County Metro,-77%,1
"Sat, 04/11/20",King County Metro,-78%,1
"Fri, 04/10/20",King County Metro,-72%,1
"Thu, 04/09/20",King County Metro,-73%,1
"Wed, 04/08/20",King County Metro,-73%,1
"Tue, 04/07/20",King County Metro,-74%,1
"Mon, 04/06/20",King County Metro,-72%,1
"Sun, 04/05/20",King County Metro,-75%,1
"Sat, 04/04/20",King County Metro,-88%,1
"Fri, 04/03/20",King County Metro,-71%,1
"Thu, 04/02/20",King County Metro,-75%,1
"Wed, 04/01/20",King County Metro,-73%,1
"Tue, 03/31/20",King County Metro,-74%,1
"Mon, 03/30/20",King County Metro,-74%,1
"Sun, 03/29/20",King County Metro,-77%,1
"Sat, 03/28/20",King County Metro,-78%,1
"Fri, 03/27/20",King County Metro,-71%,1
"Thu, 03/26/20",King County Metro,-72%,1
"Wed, 03/25/20",King County Metro,-71%,1
"Tue, 03/24/20",King County Metro,-70%,1
"Mon, 03/23/20",King County Metro,-65%,1
"Sun, 03/22/20",King County Metro,-73%,1
"Sat, 03/21/20",King County Metro,-74%,1
"Fri, 03/20/20",King County Metro,-62%,1
"Thu, 03/19/20",King County Metro,-63%,1
"Wed, 03/18/20",King County Metro,-62%,1
"Tue, 03/17/20",King County Metro,-60%,1
"Mon, 03/16/20",King County Metro,-55%,1
"Sun, 03/15/20",King County Metro,-65%,1
"Sat, 03/14/20",King County Metro,-67%,1
"Fri, 03/13/20",King County Metro,-48%,1
"Thu, 03/12/20",King County Metro,-45%,1
"Wed, 03/11/20",King County Metro,-37%,1
"Tue, 03/10/20",King County Metro,-34%,1
"Mon, 03/09/20",King County Metro,-31%,1
"Sun, 03/08/20",King County Metro,-55%,1
"Sat, 03/07/20",King County Metro,-59%,1
"Fri, 03/06/20",King County Metro,-25%,1
"Thu, 03/05/20",King County Metro,-16%,1
"Wed, 03/04/20",King County Metro,-10%,1
"Tue, 03/03/20",King County Metro,-8%,1
"Mon, 03/02/20",King County Metro,-7%,1
"Sun, 03/01/20",King County Metro,-46%,1
